Company,Title,Technical Keywords,Nontechnical Keywords
Discord,"Senior Machine Learning Infrastructure Engineer - Detection Infrastructure, Safety","['', 'data', 'structure', 'ui', 'design', 'r', 'systems', 'product', 'engineer', 'machine learning', 'architecture']","['experience', 'year', 'working', 'work', 'ability', 'building', 'experience working', 'complex', 'service', 'distributed']"
XGen Ai,Machine Learning Engineer,"['python', '', 'language', 'data', 'structure', 'development', 'ui', 'design', 'r', 'application', 'product', 'engineer', 'cloud', 'machine learning', 'models', 'aws']","['experience', 'year', 'related', 'working', 'work', 'team', 'building', 'science', 'language', 'experience working', 'strong', 'service', 'high', 'new']"
PAYLOCITY CORPORATION,Staff Software Engineer,"['', 'data', 'development', 'ui', 'design', 'r', 'software', 'engineering', 'computer', 'code', 'application', 'product', 'engineer', 'business', 'mathematics', 'testing', 'database', 'software development']","['experience', 'technical', 'working', 'work', 'team', 'including', 'knowledge', 'building', 'project', 'science', 'technology', 'developing', 'complex', 'high', 'new', 'test']"
Cymertek,Junior Software Engineer,"['java', '', 'development', 'ui', 'r', 'software', 'systems', 'application', 'product', 'engineer', 'bachelor', 'business']","['experience', 'year', 'degree', 'technical', 'work', 'skill']"
Vectrus,Software Engineer Sr,"['java', 'web', '', 'object', 'oriented', 'language', 'data', 'development', 'ui', 'design', 'analysis', 'management', 'r', 'software', 'engineering', 'systems', 'computer', 'code', 'engineer', 'sql', 'bachelor', 'database', 'agile', 'security', 'linux', 'javascript', 'software development', 'computer science']","['experience', 'year', 'degree', 'related', 'technical', 'work', 'ability', 'team', 'including', 'management', 'knowledge', 'skill', 'field', 'project', 'science', 'technology', 'using', 'language', 'developing', 'strong', 'complex', 'service', 'high', 'test', 'distributed']"
Change Healthcare,Software Engineer React,"['java', 'web', '', 'object', 'data', 'structure', 'development', 'html', 'css', 'js', 'react', 'node.js', 'ui', 'design', 'jquery', 'management', 'r', 'software', 'computer', 'code', 'application', 'product', 'engineer', 'cloud', 'bachelor', 'business', 'architecture', 'aws', 'agile', 'security', 'javascript', 'software development', 'computer science']","['experience', 'year', 'degree', 'equivalent', 'working', 'work', 'ability', 'team', 'management', 'skill', 'science', 'technology', 'using', 'experience working', 'complex', 'understanding', 'high', 'test']"
LOCKHEED MARTIN CORPORATION,Software/Database Engineer,"['java', '', 'language', 'data', 'structure', 'development', 'ui', 'design', 'management', 'mysql', 'r', 'application', 'sql', 'bachelor', 'business', 'communication', 'database', 'javascript']","['experience', 'year', 'degree', 'related', 'equivalent', 'work', 'ability', 'team', 'management', 'knowledge', 'skill', 'project', 'technology', 'language', 'strong']"
Kitchen Fresh Foods,Software Developer,"['', 'language', 'data', 'structure', 'development', 'ui', 'management', 'r', 'software', 'systems', 'code', 'application', 'sql', 'business', 'testing', 'software development']","['experience', 'year', 'degree', 'work', 'ability', 'management', 'skill', 'building', 'technology', 'using', 'language', 'developing', 'strong', 'understanding', 'new', 'test']"
"INTEL
",EDA Tools Software Engineer,"['python', '', 'language', 'development', 'ui', 'design', 'r', 'software', 'engineering', 'computer', 'code', 'product', 'engineer', 'programming', 'bachelor', 'computer science']","['experience', 'degree', 'working', 'work', 'ability', 'team', 'skill', 'project', 'science', 'technology', 'language', 'service', 'high', 'electrical', 'new', 'test', 'fast paced']"
"Capital One
",Lead Software Engineer-People Data Hub (Remote Eligible),"['java', 'python', '', 'language', 'data', 'html', 'css', 'js', 'react', 'vue', 'ui', 'management', 'r', 'software', 'engineering', 'systems', 'product', 'engineer', 'programming', 'sql', 'cloud', 'bachelor', 'business', 'aws', 'database', 'agile', 'javascript']","['experience', 'year', 'year experience', 'degree', 'work', 'team', 'including', 'management', 'building', 'project', 'technology', 'language', 'complex', 'service', 'new', 'distributed']"
