,CATEGORY,COMPANY,TITLE,QUALIFICATIONS
10,Data Scientist/Data Analyst,Amazon,Data Engineer,"You Have:• Experience writing SQL and a procedural language (Python, R, etc.) for data handling• Experience owning systems that collect, transform, and visualize data• Experience implementing data analytics, visualization tools and programs for HR working with Workday, Greenhouse, Tableau, Google Workspace, Google Data Studio, and Google Sheets• Experience implementing software solutions to automate data source, visualization and analytics products• Bachelors in related field, or equivalent experience. Bonus Points• Experience handling People-related data including compensation, performance, hiring, and engagement data.• Experience automating Google services (Sheets, Docs, Data Studio) with Javascript• Experience with Workday, Greenhouse, and Tableau• Demonstrated net positive contributor to company community and culture above and beyond the core jobPerks:• Medical, Dental, Vision & Disability Insurance• 401(k), Maternity & Parental Leave• Flexible PTO• Commuter Benefits• Amazon Employee Discount• Monthly Contribution & Discounts for Wellness Related Activities & Programs (e.g., gym memberships, off-site massages)• Breakfast, Lunch & Dinner Served Daily• Free Snacks & BeveragesPursuant to the Los Angeles Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.The base pay range for this position in Colorado, Connecticut and Washington is $139,860 - $170,940 yr and in New York City is $153,900 - $188,100 yr. Pay is based on market location and may vary depending on job-related knowledge, skills, and experience. A sign-on payment and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. Applicants should apply via Twitch's internal or external careers site.Workers in New York City who perform in-person work or interact with the public in the course of business must show proof they have been fully vaccinated against COVID or request and receive approval for a reasonable accommodation, including medical or religious accommodation.Twitch values your privacy. Please consult our Candidate Privacy Notice, for information about how we collect, use, and disclose personal information of our candidates.We are an equal opportunity employer and value diversity at Twitch. We do not discriminate on the basis of race, religion, color, national origin, gender, gender identity, sexual orientation, age, marital status, veteran status, or disability status, or other legally protected status.Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records."
11,Data Scientist/Data Analyst,Amazon,"Youth Apprentice, Data Analytics Associate, Amazon Jump Start","• Ability to work 16 hours per week• Participant in the CareerWise New York Program. • Organized: You are responsible, possess discipline, and determination. You are focused and a planner who likes to achieve and improve.• Problem Solver: You get energized by solving the problem. You might really love story problems in school.• Good Communicator: You are comfortable talking with all different kinds of people, interests, and walks of life.• Tech Savvy: You feel completely comfortable navigating technology/your computer. • Great Time Manager: You usually thrive during semester-long projects by managing your time well.• Analytical: You tend to see patterns and make connections where others don't.Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us."
12,Data Scientist/Data Analyst,Amazon,"Senior Product Manager - Tech, PXT Central Science, Product Management","• BS/BA degree with 5-7 years product management experience in a technical environment with direct product ownership• Display strong leadership, organizational and execution skills.• Is the primary driver for identifying significant opportunities, and driving product vision, strategies and roadmaps in the context of broader organizational strategies and goals.• Experience delivering software products for large, cross-functional audiences from conception through business case to implementation, measurement and ongoing management• Incorporate data, research and market analysis to inform product strategies and roadmaps.• Experience cultivating strong partnerships with stakeholders across multiple levels, functions and technical and non-technical organizations• Leads and motivates a team of engineers and other cross-functional representatives, and maintains team health.• Independent problem solver that can set priorities, make high quality judgments and decisions quickly with excellent organizational skills• Strong verbal/written communication and presentation skills - ability to clearly communicate high level strategy as well as technical details• Familiarity with AI/ML technologies.. • Advanced degree in a related field (computer science, engineering, math, finance, marketing, economics, or MBA). • PhD or broad research experience in economics, statistics, machine learning or data science, or computer science. • Hands on experience with machine learning techniques and their applications to real world use cases. • Established experience in HR, Business Analytics or Recruiting• Detailed knowledge of AWS technologies for business intelligenceAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us."
13,Data Scientist/Data Analyst,Amazon,Sr. Business Intelligence Engineer,"5+ years of experience as an analyst or engineer in the data/BI spaceExperience working directly with business stakeholders to translate between data and business needsExperience with data visualization using Tableau, Quicksight, or similar toolsExperience with SQL. Master’s degree in computer science engineering, economics, statistics, mathematics, econometrics, or a similar quantitative fieldEffective spoken and written communication to senior audiences, including strong data presentation and visualization skillsExperience and ability to effectively gather information from multiple data sources and deliver on ambiguous projects with incomplete or dirty data.Knowledge and direct experience using business intelligence reporting tools such as Tableau/QuickSight.Experience working with redshift, Cradle or other AWS tools is a plusHands On experience with Python,R is a plus"
14,Data Scientist/Data Analyst,Amazon,"Risk Manager, Lending, B2B Payments","• Robust analytical skills, including the ability to be hands-on and dive deep into details, identifying root cause and propose solutions• Hands-on experience of working with data tools/languages such as SQL, Python or SAS• Experience in credit analysis and credit risk management for financial services, banks, or fintech companies• Able to build positive business relationships and work collaboratively with cross-functional teams• Ability to articulate complex problem and cater your language to different audience in both verbal and written communication• Exhibits excellent business judgment and work with a structured approach to design, plan and execute• Results-oriented: Proven track record of on-time project/program delivery for large, cross-functional projects.• Bachelor’s degree in Business, Engineering, Statistics, Computer Science, Mathematics, Economics, Data Science, or related field or equivalent experience. • Master’s degree in Business, Engineering, Statistics, Computer Science, Mathematics, Economics, Data Science, or related field or equivalent experience • Experience in automating, optimizing and simplifying manual processes to drive operational efficiency• Has relentlessly high standards in your deliverables (eg. documents, codes, etc.)Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us."
15,Data Scientist/Data Analyst,Amazon,"2023 Specialist Software Development Engineer Internship - Berlin, Amazon Neptune","BASIC QUALIFICATIONS * Currently enrolled in a Bachelor’s or Master’s Degree in Computer Science, Computer Engineering, or related fields at time of application * Although no specific programming language is required – you should be familiar with the syntax of languages such as Java, C/C++ or Python * Knowledge of Computer Science fundamentals such as object-oriented design, algorithm design, data structures, problem solving and complexity analysis . BASIC QUALIFICATIONS * Currently enrolled in a Bachelor’s or Master’s Degree in Computer Science, Computer Engineering, or related fields at time of application * Although no specific programming language is required – you should be familiar with the syntax of languages such as Java, C/C++ or Python * Knowledge of Computer Science fundamentals such as object-oriented design, algorithm design, data structures, problem solving and complexity analysis * Graph data* Database Internals* DatabaseAmazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover, invent, simplify and build. Protecting your privacy and the security of your data is a longstanding top priority for Amazon. Please consult our Privacy Notice (https://www.amazon.jobs/en/privacy_page) to know more about how we collect, use and transfer the personal data of our candidates.m/w/d"
16,Data Scientist/Data Analyst,Amazon,Business Analyst Intern,"A Bachelor's Degree, preferably in an analytical field , e.g. Economics, Engineering, Mathematics, Statistics, or Computer Science.Proficiency in analytical tools, SQL/ETL, Microsoft Excel, and statistical analysis tools.Experience with data visualization using QuickSight, Tableau, or similar toolsExperience defining requirements and using data and metrics to draw business insightsBasic English read/write capabilityOpen-minded, creative and proactive thinkingKeep curiosity, willing to learn new things. Advanced Degree in an analytical field , e.g. Economics, Engineering, Mathematics, Statistics, or Computer ScienceBasic Python KnowledgeGood English Communication SkillsUnderstanding of data warehousing, data modeling concept and building new DW tables"
17,Data Scientist/Data Analyst,Amazon,Senior Product Manager – Technical  #0000,"A Master’s Degree or foreign equivalent in Business Administration, Economics, or related discipline and 4 years of experience in the job offered or related occupation. In the alternative, a Bachelor’s Degree or foreign equivalent in Business Administration, Economics, or related discipline followed by 6 years of experience in the job offered or related occupation. Must also have 4 years of progressively responsible related work experience involving each of the following:1. Extracting, manipulating and understanding data to draw conclusions and drive business results;2. Developing new metrics and monitoring systems to increase understanding of business performance;3. Organizing within supply chain;4. Defining business objectives and practical strategies;5. Defining detailed product or program requirements, and working with data science and engineering teams to deliver.Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, or national origin.#0000. A Master’s Degree or foreign equivalent in Business Administration, Economics, or related discipline and 4 years of experience in the job offered or related occupation. In the alternative, a Bachelor’s Degree or foreign equivalent in Business Administration, Economics, or related discipline followed by 6 years of experience in the job offered or related occupation. Must also have 4 years of progressively responsible related work experience involving each of the following:1. Extracting, manipulating and understanding data to draw conclusions and drive business results;2. Developing new metrics and monitoring systems to increase understanding of business performance;3. Organizing within supply chain;4. Defining business objectives and practical strategies;5. Defining detailed product or program requirements, and working with data science and engineering teams to deliver.Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, or national origin.#0000All applicants must meet all the above listed requirements. #0000Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us."
18,Data Scientist/Data Analyst,Amazon,"Senior Principal Economist, Seller Fees","PhD in Economics, Computer Science, or highly related field (Statistics, Finance, Math)15+ years of experience in industry, consulting, government, or academic researchExperience with big data and machine learning or data scienceCoding ability in a scripting language such as R or python or STATA. Strong research track record, drives resultsThinks strategically, but stays on top of tactical executionEffective verbal and written communications skillsExhibits business judgmentHas relentlessly high standardsDives deep, thinks big and has convictions"
19,Data Scientist/Data Analyst,Amazon,"Amazon Postdoctoral Scientist , EU ATS Research Science","• PhD in a relevant field, received within 2 years of starting the program• Proven publication record in Machine Learning, Robotics, Computer Vision, AI, Computer Science, Econ, or other related technical fields• Experience in data science and quantitative research• Proficiency in technologies relevant to the subfield. Postdocs demonstrate the following preferred job qualifications: • Ability to independently deliver results in a fast-paced environment• Publications at top-tier, peer-reviewed conferences and/or journals• Exceptional verbal and written communication skills• Expert knowledge in modeling and performance, operationalization, and scalability of scientific techniques and establishing decision strategiesRequired application materials:• CV, which lists all peer-reviewed publications and conferences,• Research statement that outlines your research achievements and future research interests, and• A journal article or book chapter that demonstrates your domain expertise.Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover, invent, simplify and build. Protecting your privacy and the security of your data is a longstanding top priority for Amazon. Please consult our Privacy Notice (https://www.amazon.jobs/en/privacy_page) to know more about how we collect, use and transfer the personal data of our candidates."
20,Data Scientist/Data Analyst,Amazon,"Principal Applied Scientist, Onsite Content","• PhD in Computer Science, Computer Engineering, Statistics, or Mathematics• More than 6 years of industrial/academic experience in data science, machine learning, deep learning, or a related field.• Demonstrated use of modeling and optimization techniques tailored to meet business needs.• Experience with leadership of experienced scientists as well as a record of developing junior members from academia/industry to a career track in a business environment• Extensive experience with Deep Learning frameworks (such as PyTorch or TensorFlow)• Familiar with programming languages such as C/C++, Java, Perl or Python. • More than 10 years of commercial/academic experience in building deep learning, speech recognition and natural language processing systems (e.g. commercial speech products or government speech projects)• Demonstrated research experience and track record of delivering results • Excellent written and verbal communication skills• Solid track record of thought leadership and contributions that have advanced the fieldAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us."
21,Data Scientist/Data Analyst,Amazon,"Economist, PXT Central Science ","PhD in economics, finance, quantitative marketing, or related field. 1-3 years of professional experience working with large data sets, understanding of statistical analysis, modeling techniques, data mining and business and/or public policy analysis.Proven track record in research and solution of business problems leveraging techniques from economics or related disciplines.Strong writing skillsAdvanced coding ability in a scripting language such as STATA, R, and/or PythonDemonstrable experience in any of the following areas of applied economics (multiple areas preferred): reduced-form causal analysis, predictive modeling and causal ML algorithms, forecasting, hazard models, labor economics, health and insurance economics, education economics, behavioral economics, designing and administering large-scale social science surveys."
22,Data Scientist/Data Analyst,Amazon,Business Intelligence Engineer,"Bachelor’s/Master’s degree in a quantitative field such as Information Systems, Computer Science, Operations Research, Statistics, Mathematics etc.2+ relevant experience or MS with 1+ relevant experience - Proficiency with SQL and programming languages with a focus on data analytics (Python, R, Java etc.)Expertise in modern data warehousing techniques (dimensional data modelling, experience with ETL, etc.)Proven expertise in building reports and BI analysis with tools such as Tableau, QlikView, SAP Business Objects etc.Excellent written and verbal communications skillsAbility to work independently in a fast-paced and rapidly changing environmentStrong analytical skills, a passion for metrics and figures, you have very high attention to details and you like to structure and organize things so that they make sense. Experience in the transportation and operations either from a business or technical positionExperience with AWS Services and products (S3, Redshift, AuroraDB, DynamoDB, Lambda, EC2 etc.)Experience in Data Science and Machine LearningExperience in Software development, DevOps and software frameworks (Django, React etc.)Ability to own and lead workshops and weekly status updates with business stakeholders"
23,Data Scientist/Data Analyst,Amazon,"Principal Applied Scientist, Product classification for tax","* Graduate degree (MS or PhD) in Electrical Engineering, Computer Science, or Mathematics.· 8+ years of industrial/academic experience in data science, machine learning or a related field.· Demonstrated use of modeling and optimization techniques tailored to meet business needs.· Experience with leadership of experienced scientists as well as a record of developing junior members from academia/industry to a career track in a business environment.· Familiar with programming languages such as C/C++, Java, Perl or Python. · PhD degree in Electrical Engineering, Computer Science, or Mathematics.· 10+ years of industrial/academic experience in a relevant field or domain.· Demonstrated experience to mentor industrial Applied scientists/Research teams.· Excellent written and verbal communication skills.· Solid track record of thought leadership and contributions that have advanced the field.Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status. If you would like to request an accommodation, please notify your Recruiter."
24,Data Scientist/Data Analyst,Amazon,DSP Planning Analytics Mgr.,"• Bachelor’s degree in Computer Science, Economics, Engineering, Mathematics, Statistics, Finance, or related technical field• Previous experience in analytics, data engineering or business intelligence.• Experience using SQL, Python or scripting language, ETL and databases in a business environment with large-scale, complex datasets.• Experience with data visualization (PyPlot, Tableau, AWS QuickSight or similar tools)• Experience writing SQL scripts, queries, and stored procedures to extract data.• Proven analytical and quantitative skills and an ability to use data and metrics to back up assumptions, develop business cases, and complete root cause analyses• Experience conducting deep dive analyses of business problems; identifying root cause of business trends, formulating conclusions and recommendations. • Master’s degree in Computer Science, Engineering, Statistics, Mathematics or related field• Experience as a Business Intelligence Engineer, Data Engineer, Business Analyst, Data Scientist, or equivalent.• Experience with statistical analysis using python or similar tools• Familiarity with solutions such as AWS, EC2, S3, Redshift, or DynamoDB - Knowledge and direct experience using business intelligence reporting tools. (Tableau, QuickSight etc.)• Experience gathering business requirements, using industry standard business intelligence tool(s) to extract data, formulate metrics and build reports• Understanding of relevant statistical measures such as confidence intervals, significance of error measurements, development and evaluation data sets• Experience communicating analytical outcomes to both business and technical teams• Excellent written and verbal communication skills• Strong interpersonal skills and advanced ability to communicate complex technology solutions to senior leadership, gain alignment, and drive progressAmazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover, invent, simplify and build. Protecting your privacy and the security of your data is a longstanding top priority for Amazon. Please consult our Privacy Notice (https://www.amazon.jobs/en/privacy_page) to know more about how we collect, use and transfer the personal data of our candidates.m/w/d"
