,CATEGORY,COMPANY,TITLE,QUALIFICATIONS
10,Data Scientist/Data Analyst,Tela,"Machine Learning Engineer – Neural Network Optimization, Autopilot AI","Strong experience with Python, C++, and software engineering best practices. Experience quantizing and optimizing the inference latency of neural networks. Experience with PyTorch, or another major deep learning framework such as TensorFlow. Experience with data manipulation tools including jupyter notebooks, numpy, scipy, matplotlib, scikit-learn, Python and Bash scripting, Linux environment. "
11,Data Scientist/Data Analyst,Tela,NPI Data Scientist," Bachelor’s degree or higher in quantitative discipline (e.g., Statistics, Computer Science, Mathematics, Physics, Electrical Engineering, Industrial Engineering) or the equivalent in experience and evidence of exceptional ability Strong knowledge of data structures, architectures, and languages such as SQL Experience and interest in data visualization techniques Ability to problem solve and adjust priorities with little advance notice to meet deadlines Strong verbal and written communication skills 3-5 years of experience in data design and dashboard development Experience with statistical software (R), database languages (SQL), simulation tools (ARENA, AnyLogic, FlexSim), data visualization tools (e.g., Tableau, Power BI, d3.js) Ability to thrive in a fast-moving and constantly evolving high growth environment Comfortable in an environment with unstructured, incomplete, and ambiguous data Strong foundation in statistics Experience building data visualizations Experience writing software in a professional environment Curious and driven to solve complex problems Smart but humble, with a bias for action Strong engineering skills and proven track record of exceptional ability (i.e. you personally solved difficult problems that moved the needle on meaningful projects) Some familiarity with deep learning fundamentals; experience training for neural networks and analyzing results "
12,Data Scientist/Data Analyst,Tela,"Manufacturing Engineer, Data Scientist","3+ years of work experience applying data analytics in a high-volume manufacturing environment.Proficient with the following tools or equivalent: databases and acquisition (SQL), statistical analysis (JMP), visualization (Tableau), and general-purpose programing (Python, R)Experience building dashboards, analysis reports, and solving real manufacturing problems with data.Skillful in time series analysis, multivariate models, hypothesis testing, A/B testing, inferential statistics, and causal analysis.Experience in some of the machine learning areas: Anomaly detection and signal processing, time-series data analysis and modeling, Conventional Machine Learning methods, Computer Vision, Deep learning, CNNsBachelor of Science in Computer Science, Statistics, Mechanical engineering, or other STEM areas."
13,Data Scientist/Data Analyst,Tela,Sales Data Science Internship (Summer 2023),"RequirementsCurrently working towards a degree in relevant program such as Computer Science, Engineering (Electrical, Computer etc...), Data Analytics, Business Analytics / MBA with analytics focus or similar.High proficiency in SQL and Python (particularly pandas).Experience with creating dashboards or visual analytical presentations.A bias for action and a passion for sustainable energyRemained engaged, proactive, and positive while solving very challenging problems.Preferred SkillsTableau certification or similar dashboarding certification. Experience using Spark. Experience creating and maintaining ETL's and data pipelines. Experience with Airflow."
14,Data Scientist/Data Analyst,Tela,"Data Analyst, Quality Data Science","BS in Mathematics, Economics, Computer Science, Information Management, Statistics, Engineering or related field.3+ years working experience as a data analyst or business data analyst."
15,Data Scientist/Data Analyst,Tela,"Data Scientist, Supply Chain Strategy","· Master’s degree or PhD. in Operations Research, Data Science, Industrial Engineering, Systems Engineering, Applied Math in Logistics, Supply Chain Management or equivalent.· 5+ years of experience in supply chain operations, logistics, E-commerce, or manufacturing.· Programming skills with at least one object-oriented language (e.g. Java) and one scripting language (e.g. Python)· Experience with statistical software (R), database languages (SQL), simulation tools (ARENA, AnyLogic, FlexSim), data visualization tools (e.g., Tableau, Power BI, d3.js), predictive modeling/ ML tools (Scikit Learn, R) and solvers (Gurobi, CPLEX, or Xpress)· Experience working with advanced planning systems and tools like Llamasoft, AnyLogistix, i2/JDA, Oracle ASCP, SAP APO etc.· Proficient in concepts of Operations Research and Data Science like mathematical programming (LP, Non-LP, MIP), Queuing Theory, Simulation, Long Term Forecasting, Anomaly Detection, Clustering, etc.· Knowledgeable in modeling heuristics, best practices, and effective solutions from within the industry or derived from other industries.· Ability to thrive in a fast-moving and constantly evolving high growth environment.· Comfortable in an environment with unstructured, incomplete, and ambiguous data.. Experience creating end to end ETL pipeline is a plus"
16,Data Scientist/Data Analyst,Tela,"Data Synthesis Engineer/Scientist, Autopilot Simulation","- Strong programming skills, especially Python. - Strong engineering skills and proven track record of exceptional ability (i.e. you personally solved difficult problems that moved the needle on meaningful projects). - Some experience with data science: analyzing large datasets using tools including Python scripting, NumPy, SciPy, Matplotlib, Scikit-learn, Jupyter Notebooks, Bash scripting, Linux environment. - Some familiarity with deep learning fundamentals; experience training for neural networks and analyzing results. - Some experience with C++. - Excited about accelerating the world’s transition to sustainable energy and pushing the state of the art in real world AI. "
17,Data Scientist/Data Analyst,Tela,"Data Scientist/Software Engineer, Reliability Engineering","Bachelor’s degree or higher in quantitative discipline (e.g., Statistics, Computer Science, Mathematics, Physics, Electrical Engineering, Industrial Engineering) or the equivalent in experience and evidence of exceptional abilityAdvanced knowledge of PythonStrong knowledge of data structures, architectures, and languages such as SQLSolid understanding of statistics (Weibull distribution, Maximum Likelihood Estimation, Bayesian methods, Monte Carlo analysis, etc.)General knowledge of physics and engineering principlesGeneral Knowledge of data pipelining (Airflow Pipelines, ETL, Py Spark)Experience and interest in data visualization techniquesAbility to problem solve and adjust priorities with little advance notice to meet deadlinesStrong verbal and written communication skills Experience with Big Data ecosystem (Spark, Presto, Data Lake/Warehouse)Experience with quick web application development (e.g., Flask, Streamlit, Dash…)Experience with containerization (e.g., Docker)"
18,Data Scientist/Data Analyst,Tela,Senior Reliability Data Scientist / Software Engineer," Bachelor’s degree or higher in quantitative discipline (Statistics, Computer Science, Mathematics, Physics, Electrical Engineering) or the equivalent in experience and evidence of exceptional ability Strong Proficiency in Python (Data Science stack) Strong knowledge of data structures, architectures and languages such as SQL Solid understanding of statistics (Maximum Likelihood Estimation, Bayesian methods, Monte Carlo analysis, Weibull distribution...) Working knowledge of the Big Data ecosystem (Spark, Presto, Data lake/Warehouse) Working Knowledge of Date Pipelining (Airflow Pipelines, ETL, Spark Data Analyses) General knowledge of physics and engineering principles Experience and interest in data visualization techniques (e.g. Matplotlib, Tableau, Plotly…) Ability to problem solve and adjust priorities with little advance notice to meet deadlines Strong verbal and written communication skills Nice to have Experience developing predictive models on time-series data Experience with MLOps and building machine learning pipelines (clustering analysis, failure prediction, anomaly detection) Experience with containerization (e.g Docker) Experience with quick web application development (e.g Flask, Dash, Streamllit) "
19,Data Scientist/Data Analyst,Tela,Energy Engineering - Software Engineer/Data Scientist (Summer 2023),"Excellent SW skills (proficiency in Python - Data Science stack)Strong MLOps and DevOps skillsSolid understanding of statistics (Statistical Learning, Bayesian Models,…)Strong knowledge of data structures and architectures and languages such as SQL Strong verbal and written communication skillsExperience with scalable Machine Learning & time-series modelingPySpark and Big Data frameworksFamiliarity with CI/CDAbility to code robust-apps (potentially interfacing with data streams, etc.)"
