,CATEGORY,COMPANY,TITLE,QUALIFICATIONS
10,Data Scientist/Data Analyst,Deloitte, Data Engineering Manager – S&A Strategy ," Bachelor's degree in a STEM field or equivalent experience (Data Science, Computer Science, Engineering, Physics, Mathematics, etc.); Master’s degree is preferred 6+ years’ experience in data engineering, software engineering, MLOps, or data science Strong management skills with experience managing teams and delivering complex and critical projects Expert programming skills in Linux Shell/CLI, Python, Powershell, etc Experience with enabling modern deep learning software architectures and frameworks including Tensorflow, PyTorch or other frameworks Experience managing Docker, Kubernetes, Spark, Dask, Flask, and CI/CD services Experience with provisioning and configuration management tools; Puppet, Ansible, Chef, Airflow, Terraform, Jenkins etc. Experience with Databases (relational and NoSQL) and data warehousing Experience with deployment and optimization–Kubernetes, Docker, NVIDIA TensorRT/Triton, RAPIDs, Kubeflow, MLflow etc. Proficient of the various services and capabilities of computing platforms (AWS/Azure/GCP and Nvidia suite), specifically EC2, EBS, ELB, RDS, S3, Redshift, Lambda, etc Experience with workflow and data management solutions such as Airflow, Kafka, Glue, etc. Limited immigration sponsorship may be available Ability to travel 10%, on average, based on the work you do and the clients and industries/sectors you serve Live within commuting distance to one of Deloitte’s consulting offices "
11,Data Scientist/Data Analyst,Deloitte, Life Sciences - R&D - Strategy Manager ,"Bachelor's Degree or equivalent experience Industry experience in R&D processes, data analytics, and/or solution development (in the order of 5+ years) Understanding of business practices, solutions and relevant regulations for clinical data and trials management Understanding of industry trends and future directions for clinical development Understanding or experience with core elements of bio-pharma drug research and/or drug development Areas of expertise to include pre-clinical studies, clinical trials, safety, regulatory operations and medical affairs, portfolio/project management translational medicine Limited sponsorship available Ability to travel 50%, on average, based on the clients and industries/sectors you serve"
12,Data Scientist/Data Analyst,Deloitte, Life Sciences - R&D - Strategy Senior Manager ,"Bachelor's Degree or equivalent experience Industry experience in R&D processes, data analytics, and/or solution development (in the order of 5+ years) Understanding of business practices, solutions and relevant regulations for clinical data and trials management Understanding of industry trends and future directions for clinical development Understanding or experience with core elements of bio-pharma drug research and/or drug development Areas of expertise to include pre-clinical studies, clinical trials, safety, regulatory operations and medical affairs, portfolio/project management translational medicine Limited sponsorship available Ability to travel 50%, on average, based on the clients and industries/sectors you serve"
13,Data Scientist/Data Analyst,Deloitte, Bioinformatics Data Scientist ,"Masters degree in Biomedical Sciences, Computer Science, Engineering, Mathematics, Public Health or other health-related fieldAbility to obtain and maintain a Public Trust Security clearance2+ years of experience with in the field of Biological and Biomedical Sciences2+ years of experience with analysis packages and programming languages such as R, Python, SPSS, SQL, and SAS2+ years of experience with scientific research methods as applied to quantitative data analysisMust be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future "
14,Data Scientist/Data Analyst,Deloitte, Sr. Bioinformatics Data Scientist ,"Masters degree in Biomedical Sciences, Computer Science, Engineering, Mathematics, Public Health or other health-related fieldAbility to obtain and maintain a Public Trust Security clearance2+ years of experience with in the field of Biological and Biomedical Sciences2+ years of experience with analysis packages and programming languages such as R, Python, SPSS, SQL, and SAS2+ years of experience with scientific research methods as applied to quantitative data analysisMust be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future "
15,Data Scientist/Data Analyst,Deloitte, Senior Bioinformatics Data Scientist ,"Masters degree in Biomedical Sciences, Computer Science, Engineering, Mathematics, Public Health or other health-related fieldAbility to obtain and maintain a Public Trust Security clearance2+ years of experience with in the field of Biological and Biomedical Sciences2+ years of experience with analysis packages and programming languages such as R, Python, SPSS, SQL, and SAS2+ years of experience with scientific research methods as applied to quantitative data analysisMust be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future "
16,Data Scientist/Data Analyst,Deloitte, Bioinformatics Data Scientist (FEDHEALTH Sector) ,"Masters degree in Biomedical Sciences, Computer Science, Engineering, Mathematics, Public Health or other health-related fieldAbility to obtain and maintain a Public Trust Security clearance2+ years of experience with in the field of Biological and Biomedical Sciences2+ years of experience with analysis packages and programming languages such as R, Python, SPSS, SQL, and SAS2+ years of experience with scientific research methods as applied to quantitative data analysisMust be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future "
17,Data Scientist/Data Analyst,Deloitte, Senior Software Engineer – S&A Strategy ,"Bachelor's or Master’s degree in a STEM field or equivalent experience (Computer Science, Engineering, Physics etc.); Master’s degree preferred4+ years of software development experience in python for data science applications 2+ years of experience building software on top of major container technology (Kubernetes, Docker, or similar)Expert with modern software development best practices, CI/CD processes and aversion control processes Expert in working with both on-prem and cloud environments such as AWS, Azure, GCP, etc.Proficient in additional programming languages such as JavaScript, SQL, C, C++, & C# Demonstrated understanding of machine learning and AI technologiesLive within commuting distance to one of Deloitte’s consulting officesExcellent communication skills, both written and verbal Ability to travel 10%, on average, based on the work you do and the clients and industries/sectors you serveLimited immigration sponsorship may be available"
18,Data Scientist/Data Analyst,Deloitte, Product Manager ," Program Analyst (Secret Clearance Required) Management Consulting | San Diego, California, United States | Strategy & Analytics Data Scientist with Polygraph Management Consulting | Rosslyn, Virginia, United States | Strategy & Analytics Full Stack Developer – Solution Specialist Management Consulting | Multiple Locations | Strategy & Analytics Cloud Data Engineer Management Consulting | Multiple Locations | Strategy & Analytics Senior Cloud Data Engineer Management Consulting | Multiple Locations | Strategy & Analytics "
19,Data Scientist/Data Analyst,Deloitte, Data Scientist Manager ,"Undergraduate degree in a quantitative field (computer science, engineering, mathematics, physics, machine learning, statistics)6+ years of industry experience leading the design, development, and deployment of machine learning modelsExperience being the technical lead for multiple project teams simultaneouslyPrevious experience mentoring, training, and developing junior members of the team; experience in employee performance reviewsExpert understanding of Python and other common languagesDeep understanding of machine learning model development life cyclesExtensive experience using common machine learning and deep learning libraries and techniques, including TensorFlow, PyTorch, and big data platformsExtensive experience with cloud-based ecosystems (Azure, GCP, AWS)Experience in an Agile working environment and related project management tools (Jira, Azure DevOps, etc.)Demonstrated ability to write high-quality, production-ready code (readable, well-tested, well-documented, with well-designed APIs)Demonstrated ability to develop novel machine learning methods that go beyond putting together existing open-source code, and to apply problem-solving skills to complex issuesExperience with version control practices and tools (Git, etc.)Fluency in both structured and unstructured data (SQL, NOSQL)Solid understanding of Docker, Jenkins, Kubernetes, and other DevOps toolsExcellent written and verbal communication skillsAbility to travel 30%, on average, based on the work you do and the clients and industries/sectors you serveLimited immigration sponsorship may be available"
20,Data Scientist/Data Analyst,Deloitte, Encore AI & Data Engineering Consultant ,"2+ years of relevant data management consulting or data analytics experience (master data, metadata, data architecture, data governance, data quality, data modeling, data standards)2+ years Project Management/PMO experience2+ years experience with SQLBachelor’s Degree or equivalent years experience. Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the futureAbility to travel up to 50% on average, based on the work you do and the clients and industries/sectors you serve"
21,Data Scientist/Data Analyst,Deloitte, Senior Data Scientist - Various Cities ,"Solid understanding of the ML lifecycle and conceptsExperience with the design and implementation (building, containerizing, and deploying end to end automated data and ML pipelines) of automated cloud solutions6+ years of experience in developing algorithms using data science technologies to build analytical models.6+ years of data extraction/manipulation experience using scripts specific to AI/ML6+ years of IT experience. Minimum 2 years of relevant experience delivering AI/ML projects.6+ years of modeling experience using a variety of regression and supervised and unsupervised learning techniques.6+ years of experience in data wrangling/cleansing, statistical modeling, and programming.5+ years of experience with presentation and data analysis software such as: SAS, R, SPSS, MATLAB, Qlikview, Excel and Access.Extensive experience working in an Agile development environmentFluency in both structured and unstructured data (SQL, NOSQL)Production experience with Apache SparkHands-on experience with web APIs, CI/CD for ML, and Serverless DeploymentFamiliarity with Linux OS and Windows serversKnowledge of Docker, Jenkins, Kubernetes, and other DevOps toolsTravel up to 20% (While 20% of travel is a requirement of the role, due to COVID-19, non-essential travel has been suspended until further notice)."
22,Data Scientist/Data Analyst,Deloitte, Lead GPS Data Reporting & Analytics ,"5+ years of relevant professional experience5+ years of experience with analytics strategy3+ years of experience with programming languages such as Python, R, SPSS, SAS3+ years of experience with data visualization tools, such as Tableau, Qlik, PowerBI, DataiKu, or equivalent2+ years experience with ETL, NoSQL Apache Hadoop, and cloud computing technology, especially Microsoft AzureBachelors Degree in Computer Science, Mathematics, Engineering or business-related fieldAbility to complete work in an acceptable timeframe and manage a variety of detailed tasks and responsibilities simultaneously and with accuracy to meet deadlines, goals, and objectives and satisfy internal and external customer needs related to the jobFamiliarity with agile project methodologyFamiliarity with project development lifecycleUp to 10% travel may be requiredMust be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future."
